ESTRATO,SEMESTRE,PROMEDIOSEMESTRE,EDAD2,PROGRAMA,GENERO,CIUDADRESIDENCIA,CIUDADNACIMIENTO,target
2.0,8,4.3,21,102383,0,76001.0,76001.0,1
2.0,8,4.5,21,102383,0,76001.0,76001.0,1
2.0,8,4.1,26,102383,1,76001.0,76001.0,1
3.0,8,3.7,21,102383,0,76001.0,76001.0,1
4.0,8,4.2,21,102383,0,76001.0,76001.0,1
3.0,8,4.0,22,102383,0,76001.0,76001.0,1
3.0,8,4.2,33,102383,0,76892.0,76892.0,1
3.0,8,4.0,25,102383,0,76834.0,76834.0,1
2.0,8,4.2,23,102383,0,76001.0,76248.0,1
3.0,8,4.5,23,102383,1,76001.0,76001.0,1
3.0,8,4.2,23,102383,1,76001.0,76001.0,1
1.0,8,4.3,25,102383,1,76892.0,76001.0,1
3.0,7,4.1,31,102383,1,76001.0,76001.0,1
3.0,8,3.5,26,102383,0,76364.0,76001.0,1
3.0,4,3.4,20,102383,0,76001.0,76001.0,0
3.0,8,4.5,34,102383,0,76001.0,76001.0,1
3.0,8,4.2,24,102383,0,76147.0,19001.0,1
4.0,2,2.8,20,102383,0,76001.0,76834.0,1
2.0,4,2.5,22,102383,0,76001.0,76001.0,0
2.0,8,4.4,22,102383,0,76001.0,76001.0,1
1.0,8,3.5,25,102383,0,76001.0,76001.0,1
1.0,8,4.4,29,102383,0,76520.0,76520.0,1
3.0,2,3.2,23,102383,0,76001.0,76001.0,0
3.0,8,4.0,24,102383,0,76001.0,76001.0,1
2.0,8,4.5,27,102383,0,76520.0,76520.0,1
3.0,7,3.9,24,102383,0,76001.0,76001.0,1
1.0,7,3.9,24,102383,1,76001.0,76001.0,1
2.0,8,4.1,37,102383,0,76001.0,76001.0,1
1.0,7,3.8,23,102383,0,76001.0,19100.0,1
5.0,8,4.7,27,102383,0,76001.0,66001.0,1
1.0,6,2.5,27,102383,0,19698.0,19698.0,1
3.0,8,4.1,22,102383,0,76520.0,76520.0,1
5.0,8,4.6,22,102383,0,76001.0,76001.0,1
3.0,7,4.6,22,102383,0,76001.0,19698.0,1
3.0,8,4.6,27,102383,0,76364.0,86568.0,1
2.0,7,4.1,23,102383,0,76520.0,76109.0,1
2.0,2,2.5,21,102383,1,19573.0,19573.0,0
3.0,7,3.3,23,102383,0,76001.0,76001.0,1
2.0,1,2.7,20,102383,0,19698.0,19698.0,1
2.0,8,4.4,27,102383,0,76318.0,76111.0,1
2.0,8,4.1,26,102383,0,76318.0,76318.0,1
3.0,8,4.1,23,102383,1,76001.0,76001.0,1
1.0,7,3.1,26,102383,0,19142.0,19698.0,1
5.0,8,3.6,24,102383,0,76001.0,76001.0,1
4.0,7,3.7,40,102383,1,76001.0,76001.0,1
2.0,8,4.3,28,102383,0,76001.0,76001.0,1
2.0,8,4.2,24,102383,1,76001.0,76001.0,1
2.0,5,3.3,25,102383,0,19573.0,19573.0,1
3.0,8,4.2,24,102383,0,76001.0,76001.0,1
2.0,8,4.1,22,102383,0,76001.0,76001.0,1
3.0,7,4.2,25,102383,0,76001.0,76001.0,1
3.0,8,4.1,25,102383,0,86001.0,86001.0,1
1.0,8,3.1,36,102383,0,19455.0,19455.0,1
3.0,2,0.7,33,102383,1,76001.0,5045.0,1
2.0,8,3.9,21,102383,0,76001.0,76001.0,1
2.0,5,3.0,23,102383,1,19001.0,19001.0,1
3.0,3,3.0,21,102383,0,76892.0,76001.0,0
2.0,8,4.2,21,102383,0,76275.0,76520.0,1
4.0,8,4.5,24,102383,0,76520.0,76520.0,0
3.0,7,3.7,25,102383,0,76520.0,76520.0,1
1.0,8,4.3,22,102383,1,41298.0,41298.0,1
3.0,8,4.1,21,102383,0,76001.0,76001.0,1
3.0,8,3.7,23,102383,0,76001.0,76001.0,1
3.0,8,4.2,23,102383,0,76001.0,76001.0,1
1.0,7,3.9,22,102383,0,19455.0,19455.0,1
3.0,1,3.2,17,102383,0,76001.0,19100.0,0
4.0,8,4.1,22,102383,0,76001.0,76001.0,1
3.0,2,3.9,18,102383,0,76520.0,76520.0,0
2.0,8,4.4,21,102383,1,76001.0,76001.0,1
4.0,8,3.9,21,102383,0,76520.0,76520.0,1
3.0,8,4.4,22,102383,0,76001.0,76001.0,1
3.0,8,4.2,23,102383,0,76001.0,44001.0,1
3.0,8,4.6,22,102383,0,19001.0,19001.0,1
3.0,1,3.6,16,102383,0,76001.0,76001.0,0
2.0,7,4.3,33,102383,1,76001.0,52215.0,1
2.0,8,4.6,21,102383,0,76563.0,76563.0,1
2.0,7,4.2,23,102383,0,19698.0,19532.0,1
3.0,8,4.1,24,102383,0,19573.0,76001.0,1
2.0,4,3.1,25,102383,0,76001.0,76147.0,1
3.0,2,3.2,18,102383,0,19698.0,76147.0,0
2.0,8,4.8,20,102383,0,76364.0,76001.0,1
3.0,7,3.5,27,102383,0,76001.0,76001.0,1
4.0,8,4.1,24,102383,1,76001.0,76001.0,1
4.0,8,4.1,23,102383,0,76001.0,76001.0,1
2.0,8,4.0,22,102383,0,76892.0,76892.0,1
3.0,7,4.1,25,102383,0,76001.0,76001.0,1
3.0,8,4.7,25,102383,1,76001.0,19318.0,1
3.0,8,4.8,23,102383,0,76001.0,17433.0,1
4.0,8,3.8,22,102383,1,76001.0,76001.0,1
4.0,8,4.1,21,102383,0,19001.0,19001.0,1
4.0,8,4.2,22,102383,1,76364.0,76001.0,1
2.0,8,4.2,24,102383,0,76275.0,76275.0,1
3.0,7,3.8,26,102383,1,76001.0,19418.0,1
3.0,1,2.8,17,102383,1,76001.0,76001.0,1
5.0,8,4.1,22,102383,0,76001.0,76001.0,1
2.0,8,4.4,21,102383,0,76001.0,76001.0,1
1.0,8,4.0,27,102383,1,76001.0,76001.0,1
5.0,8,3.8,21,102383,1,76520.0,76520.0,1
3.0,8,3.6,21,102383,0,76001.0,76001.0,1
2.0,3,3.9,22,102383,0,76001.0,76109.0,0
3.0,4,2.8,19,102383,0,76001.0,76001.0,1
3.0,8,4.2,28,102383,0,19698.0,19698.0,1
4.0,8,4.5,24,102383,0,18001.0,18001.0,1
4.0,8,4.5,24,102383,0,19290.0,18001.0,1
4.0,8,4.7,28,102383,1,76001.0,76001.0,1
1.0,8,4.4,21,102383,1,19100.0,19100.0,1
1.0,8,4.4,21,102383,1,68101.0,19100.0,1
1.0,8,4.4,21,102383,1,76100.0,19100.0,1
4.0,8,3.9,31,102383,0,76001.0,76001.0,1
2.0,8,4.6,25,102383,0,76890.0,76111.0,1
2.0,8,2.8,22,102383,0,76001.0,76001.0,1
3.0,7,4.1,23,102383,0,76250.0,76250.0,1
4.0,1,3.0,18,102383,0,76001.0,76001.0,0
2.0,4,3.9,22,102383,1,76001.0,76001.0,0
4.0,2,1.1,20,102383,1,76001.0,76001.0,1
2.0,8,4.3,22,102383,0,76520.0,76520.0,1
1.0,7,2.5,25,102383,0,76001.0,76001.0,0
2.0,8,4.2,21,102383,1,76001.0,76001.0,1
3.0,8,3.8,24,102383,0,76001.0,76001.0,1
1.0,8,4.6,24,102383,0,76001.0,76109.0,1
4.0,8,4.3,23,102383,1,76001.0,76001.0,1
2.0,2,2.7,21,102383,1,76520.0,76520.0,1
5.0,8,4.0,23,102383,0,76001.0,76001.0,1
2.0,8,4.2,21,102383,0,76109.0,76109.0,1
2.0,8,4.4,24,102383,0,76001.0,76001.0,1
3.0,7,4.2,22,102383,0,76001.0,76001.0,1
2.0,7,4.4,23,102383,0,76001.0,76001.0,1
1.0,8,4.4,22,102383,0,76001.0,76001.0,1
5.0,7,3.8,26,102383,0,76001.0,76001.0,1
3.0,7,4.0,22,102383,0,76001.0,76001.0,1
2.0,8,4.4,35,102383,0,76001.0,76001.0,1
2.0,7,3.9,32,102383,0,76001.0,76001.0,1
2.0,8,4.0,29,102383,0,76001.0,76001.0,1
2.0,2,3.2,22,102383,1,76520.0,76520.0,0
2.0,8,3.8,22,102383,0,76869.0,76869.0,1
6.0,2,3.3,23,102383,0,76001.0,76001.0,0
3.0,7,3.9,23,102383,0,76001.0,76001.0,1
1.0,8,4.2,25,102383,0,76001.0,17614.0,1
2.0,7,3.7,26,102383,1,76001.0,76001.0,1
