ESTRATO,SEMESTRE,PROMEDIOSEMESTRE,EDAD2,PROGRAMA,GENERO,CIUDADRESIDENCIA,CIUDADNACIMIENTO,target
1.0,8,4.4,21,4,1,16,35,1
4.0,8,3.9,31,4,0,23,47,1
2.0,8,4.6,25,4,0,171,40,1
2.0,8,2.8,22,4,0,23,47,1
3.0,7,4.1,23,4,0,48,86,1
4.0,1,3.0,18,4,0,23,47,0
1.0,8,4.1,30,4,0,19,42,1
2.0,4,3.9,22,4,1,23,47,0
4.0,2,1.1,20,4,1,23,47,1
2.0,8,4.3,22,4,0,102,179,1
1.0,7,2.5,25,4,0,23,47,0
2.0,8,4.2,21,4,1,23,47,1
3.0,8,3.8,24,4,0,23,47,1
5.0,7,3.7,26,4,0,174,47,1
1.0,8,4.6,24,4,0,23,37,1
4.0,8,4.3,23,4,1,23,47,1
2.0,2,2.7,21,4,1,102,179,1
2.0,2,2.4,23,4,0,166,47,0
5.0,8,4.0,23,4,0,23,47,1
2.0,8,4.2,21,4,0,17,37,1
2.0,8,4.4,24,4,0,23,47,1
3.0,7,4.2,22,4,0,23,47,1
2.0,1,2.3,21,4,0,19,40,1
2.0,7,4.4,23,4,0,23,47,1
1.0,8,4.4,22,4,0,23,47,1
5.0,7,3.8,26,4,0,23,47,1
3.0,7,4.0,22,4,0,23,47,1
2.0,8,4.4,35,4,0,23,47,1
2.0,7,3.9,32,4,0,23,47,1
2.0,8,4.0,29,4,0,23,47,1
2.0,2,3.2,22,4,1,102,179,0
2.0,8,3.8,22,4,0,164,281,1
6.0,2,3.3,23,4,0,23,47,0
3.0,7,3.9,23,4,0,23,47,1
1.0,8,4.2,25,4,0,23,217,1
2.0,7,3.7,26,4,1,23,47,1
3.0,4,3.1,20,4,0,23,47,0
4.0,1,4.0,24,4,1,23,294,0
2.0,8,4.1,38,4,0,23,185,1
3.0,8,4.8,28,4,0,23,47,1
2.0,8,4.6,29,4,0,23,47,1
3.0,1,4.0,16,4,0,102,179,0
1.0,7,4.5,29,4,0,174,47,1
3.0,8,0.4,26,4,1,23,199,0
2.0,5,4.1,25,4,1,23,47,0
6.0,8,3.7,23,4,1,23,34,1
3.0,8,4.2,28,4,1,104,149,1
1.0,8,4.5,25,4,0,12,26,1
3.0,8,3.3,24,4,0,102,179,1
1.0,8,4.4,36,4,1,110,35,1
3.0,8,5.0,21,4,1,26,47,1
1.0,8,4.6,21,4,0,23,47,1
2.0,7,3.5,24,4,0,151,260,1
3.0,8,0.0,29,4,0,102,179,1
2.0,8,4.5,22,4,0,23,169,1
3.0,8,4.0,28,4,1,23,47,1
6.0,5,1.4,22,4,0,23,47,1
2.0,6,3.0,26,4,1,104,181,1
4.0,8,4.6,22,4,0,102,185,1
3.0,8,4.7,22,4,1,23,271,1
2.0,8,4.3,27,4,0,102,179,1
1.0,6,3.4,26,4,1,114,199,1
3.0,2,2.2,20,4,0,23,47,1
3.0,1,3.1,21,4,0,23,47,0
3.0,1,3.2,30,4,1,26,51,0
4.0,7,4.0,24,4,0,23,47,1
3.0,7,4.1,23,4,0,23,47,1
5.0,8,4.3,24,4,0,23,47,1
3.0,7,4.0,27,4,0,23,36,1
5.0,8,4.3,23,4,0,23,47,1
4.0,1,3.1,18,4,0,23,34,0
3.0,2,3.2,21,4,0,23,47,0
3.0,3,4.0,27,4,0,23,47,0
4.0,8,4.7,33,4,0,23,47,1
3.0,7,4.3,24,4,0,70,190,1
3.0,8,4.8,23,4,0,70,47,1
1.0,7,4.5,24,4,0,23,47,1
2.0,8,4.3,22,4,0,17,37,1
6.0,8,4.5,28,4,0,23,47,1
2.0,7,4.2,22,4,1,110,190,1
2.0,7,4.2,24,4,1,19,40,1
3.0,1,0.5,21,4,0,23,47,1
3.0,7,4.0,22,4,0,70,190,1
3.0,8,3.1,25,4,0,23,181,1
2.0,2,3.1,20,4,0,23,47,0
2.0,7,4.2,24,4,0,117,47,1
1.0,8,4.0,22,4,0,79,137,1
2.0,7,4.4,23,4,0,102,179,1
3.0,7,4.2,26,4,0,23,47,1
4.0,8,4.0,23,4,0,23,47,1
3.0,8,4.4,23,4,0,23,47,1
3.0,2,0.7,20,4,0,23,47,1
2.0,7,4.4,25,4,0,23,190,1
2.0,8,4.0,21,4,0,23,47,1
3.0,7,4.2,22,4,0,139,244,1
2.0,7,4.0,27,4,0,23,47,1
3.0,8,4.3,21,4,0,17,37,1
2.0,8,3.8,22,4,0,102,47,1
5.0,4,3.2,23,4,1,23,47,0
3.0,8,3.9,21,4,0,174,47,1
5.0,1,1.9,23,4,1,23,47,1
3.0,1,3.1,18,4,0,102,179,0
2.0,8,4.8,25,4,0,23,156,1
2.0,8,4.3,23,4,0,23,170,1
3.0,8,4.8,23,4,0,23,69,1
2.0,8,4.0,26,4,0,23,272,1
3.0,8,4.1,25,4,0,23,47,1
3.0,1,2.0,19,4,0,23,47,1
4.0,8,4.8,21,4,0,23,47,1
2.0,4,4.0,20,4,0,61,83,1
5.0,1,1.7,19,4,1,23,47,1
3.0,8,3.6,21,4,1,23,47,1
1.0,8,4.5,22,4,0,23,47,1
1.0,1,2.2,27,4,0,47,47,1
2.0,8,4.2,23,4,0,70,34,1
2.0,7,4.2,22,4,0,23,47,1
3.0,8,3.5,21,4,0,117,205,1
2.0,8,4.3,26,4,0,23,47,1
2.0,7,3.8,28,4,0,26,47,1
2.0,7,4.1,25,4,0,160,271,1
6.0,8,4.2,26,4,0,23,47,1
3.0,7,4.5,22,4,0,70,47,1
1.0,7,4.3,23,4,0,23,117,1
3.0,8,3.0,22,4,0,23,47,1
3.0,8,4.2,24,4,0,23,190,1
3.0,7,4.0,29,4,0,70,47,1
3.0,8,3.1,26,4,0,23,47,1
1.0,8,4.3,26,4,1,23,47,1
2.0,1,2.1,25,4,1,160,117,1
4.0,1,3.5,17,4,1,23,47,0
4.0,7,4.0,39,4,1,23,127,1
2.0,8,4.0,23,4,1,23,47,1
1.0,8,4.8,23,4,0,23,47,1
2.0,8,4.4,23,4,0,23,47,1
2.0,7,4.4,25,4,0,26,274,1
2.0,7,4.3,24,4,0,110,190,1
4.0,7,4.2,26,4,0,23,190,1
2.0,7,4.7,23,4,1,23,47,1
4.0,7,4.6,22,4,0,23,47,1
1.0,8,3.9,25,4,1,23,47,1
3.0,7,4.3,22,4,0,102,179,1
3.0,7,4.5,24,4,0,23,54,1
1.0,7,4.5,21,4,0,8,294,1
2.0,8,3.9,22,4,0,23,47,1
2.0,8,4.2,22,4,0,110,190,1
2.0,7,4.5,21,4,0,19,40,1
2.0,7,4.4,22,4,0,23,136,1
1.0,7,4.5,22,4,0,57,47,1
1.0,8,4.8,35,4,1,23,270,1
2.0,7,4.5,23,4,0,15,47,1
3.0,7,4.3,20,4,0,102,179,1
1.0,7,0.0,23,4,0,110,47,1
3.0,7,4.2,22,4,1,23,47,1
3.0,7,4.6,22,4,0,23,47,1
3.0,7,4.0,22,4,1,23,47,1
2.0,4,3.3,20,4,0,23,47,0
3.0,7,4.4,23,4,1,19,40,1
3.0,8,4.1,22,4,0,23,47,1
5.0,2,2.4,20,4,1,23,47,1
3.0,7,4.0,23,4,0,51,97,1
2.0,2,3.9,21,4,0,139,244,1
3.0,3,1.8,18,4,0,23,47,1
3.0,7,4.7,26,4,1,23,47,1
3.0,7,4.4,23,4,1,23,47,1
2.0,7,4.3,21,4,0,61,117,1
2.0,3,3.9,23,4,0,23,47,0
2.0,8,4.5,24,4,0,23,47,1
3.0,8,4.4,22,4,0,23,190,1
2.0,1,3.8,19,4,0,23,47,0
2.0,7,4.2,21,4,1,23,47,1
2.0,7,1.3,29,4,1,70,126,1
1.0,8,4.1,40,4,0,23,37,1
3.0,7,4.5,27,4,0,23,47,1
2.0,7,4.3,22,4,0,160,47,1
3.0,7,4.4,26,4,1,23,47,0
1.0,8,4.2,21,4,0,18,38,1
3.0,7,4.6,22,4,0,23,271,1
2.0,8,4.5,29,4,1,105,182,1
2.0,1,2.8,16,4,0,58,112,1
2.0,8,4.9,26,4,0,58,123,1
1.0,8,4.3,41,4,0,23,37,1
3.0,8,4.2,21,4,0,23,34,1
1.0,7,4.1,21,4,0,139,47,1
5.0,3,3.7,24,4,0,23,47,0
2.0,7,3.9,23,4,0,23,47,1
1.0,8,4.2,22,4,0,151,260,1
2.0,7,4.5,22,4,0,16,35,1
3.0,7,4.0,29,4,0,23,47,1
2.0,7,4.6,21,4,0,23,47,1
2.0,6,2.7,28,4,0,102,179,0
2.0,8,4.2,23,4,0,111,47,1
3.0,8,3.9,26,4,0,51,97,1
2.0,5,4.0,26,4,1,23,47,1
3.0,8,4.2,22,4,0,174,265,1
1.0,6,3.1,26,4,0,23,47,1
1.0,8,4.0,25,4,0,167,161,1
1.0,8,4.2,21,4,0,23,47,1
2.0,7,4.5,21,4,0,23,47,1
4.0,3,3.2,21,4,0,23,47,0
5.0,8,4.3,26,4,0,23,47,1
4.0,2,2.8,21,4,0,23,47,1
1.0,2,3.5,19,4,0,23,47,0
1.0,7,3.5,24,4,0,58,112,1
2.0,8,4.2,25,4,0,172,292,1
3.0,4,4.1,19,4,0,23,47,0
3.0,8,4.1,24,4,0,23,82,1
1.0,8,4.1,25,4,0,168,284,1
2.0,5,3.7,20,4,1,23,47,0
2.0,1,0.0,25,4,0,23,47,1
3.0,7,4.0,21,4,1,23,47,1
1.0,8,4.2,25,4,0,139,244,1
2.0,8,3.4,28,4,1,23,47,1
2.0,7,4.6,22,4,1,48,86,1
3.0,3,3.9,21,4,1,23,47,0
3.0,8,4.4,26,4,0,102,179,1
3.0,8,3.7,21,4,0,23,35,1
2.0,8,3.9,24,4,0,174,47,1
4.0,5,4.1,28,4,1,23,47,0
1.0,1,4.1,23,4,1,23,47,0
1.0,8,4.4,26,4,1,79,137,1
2.0,5,4.3,22,4,0,172,47,0
1.0,7,4.0,20,4,0,23,47,1
5.0,8,4.7,22,4,1,102,179,1
1.0,8,4.2,28,4,0,139,244,1
4.0,7,4.5,27,4,1,23,47,1
